# 01:time 02:total_time 03:iteration 04:total_iteration 05:X 06:Y 007:U_MEAN(1) 008:U_MEAN(2) 009:U_MEAN(mag)
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   1.2383599644677492E-001  5.5957974694338457E-003  1.2396236108305040E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   1.2383599644677492E-001  5.5957974694338457E-003  1.2396236108305040E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   1.2383599644677492E-001  5.5957974694338457E-003  1.2396236108305040E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   1.2383599644677492E-001  5.5957974694338457E-003  1.2396236108305040E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   1.2383599644677492E-001  5.5957974694338457E-003  1.2396236108305040E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   1.2383599644677492E-001  5.5957974694338457E-003  1.2396236108305040E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   1.2383599644677492E-001  5.5957974694338457E-003  1.2396236108305040E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   1.2383599644677492E-001  5.5957974694338457E-003  1.2396236108305040E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   1.2383599644677492E-001  5.5957974694338457E-003  1.2396236108305040E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   1.2383599644677492E-001  5.5957974694338457E-003  1.2396236108305040E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   1.2383599644677492E-001  5.5957974694338457E-003  1.2396236108305040E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   1.2383599644677492E-001  5.5957974694338457E-003  1.2396236108305040E-001
