# 01:time 02:total_time 03:iteration 04:total_iteration 05:X 06:Y 007:U_RMS(1) 008:U_RMS(2) 009:U_RMS(mag)
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   2.9247014687327741E-001  4.9486887547628342E-001  5.7483388098409609E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   2.9247014687327741E-001  4.9486887547628342E-001  5.7483388098409609E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   2.9247014687327741E-001  4.9486887547628342E-001  5.7483388098409609E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   2.9247014687327741E-001  4.9486887547628342E-001  5.7483388098409609E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   2.9247014687327741E-001  4.9486887547628342E-001  5.7483388098409609E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   2.9247014687327741E-001  4.9486887547628342E-001  5.7483388098409609E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   2.9247014687327741E-001  4.9486887547628342E-001  5.7483388098409609E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   2.9247014687327741E-001  4.9486887547628342E-001  5.7483388098409609E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   2.9247014687327741E-001  4.9486887547628342E-001  5.7483388098409609E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   2.9247014687327741E-001  4.9486887547628342E-001  5.7483388098409609E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   2.9247014687327741E-001  4.9486887547628342E-001  5.7483388098409609E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   2.9247014687327741E-001  4.9486887547628342E-001  5.7483388098409609E-001
  0.9999999999999998E-001  0.9999999999999998E-001      10  20010   2.0000000000000000E+000 0.0000000000000000E+000   2.9247210455325728E-001  4.9495094249535949E-001  5.7490552912531303E-001
  0.9999999999999998E-001  0.9999999999999998E-001      10  20010   2.0000000000000000E+000 0.0000000000000000E+000   2.9247210455325728E-001  4.9495094249535949E-001  5.7490552912531303E-001
  2.0000000000000004E-001  2.0000000000000004E-001      20  20020   2.0000000000000000E+000 0.0000000000000000E+000   2.9247458795889071E-001  4.9499740756910712E-001  5.7494679588798449E-001
  2.0000000000000004E-001  2.0000000000000004E-001      20  20020   2.0000000000000000E+000 0.0000000000000000E+000   2.9247458795889071E-001  4.9499740756910712E-001  5.7494679588798449E-001
  3.0000000000000008E-001  3.0000000000000008E-001      30  20030   2.0000000000000000E+000 0.0000000000000000E+000   2.9247579245665775E-001  4.9500556560613651E-001  5.7495443224154820E-001
  3.0000000000000008E-001  3.0000000000000008E-001      30  20030   2.0000000000000000E+000 0.0000000000000000E+000   2.9247579245665775E-001  4.9500556560613651E-001  5.7495443224154820E-001
  4.0000000000000017E-001  4.0000000000000017E-001      40  20040   2.0000000000000000E+000 0.0000000000000000E+000   2.9247395788302581E-001  4.9497611262713316E-001  5.7492814169357755E-001
  4.0000000000000017E-001  4.0000000000000017E-001      40  20040   2.0000000000000000E+000 0.0000000000000000E+000   2.9247395788302581E-001  4.9497611262713316E-001  5.7492814169357755E-001
  5.0000000000000017E-001  5.0000000000000017E-001      50  20050   2.0000000000000000E+000 0.0000000000000000E+000   2.9246735142421464E-001  4.9491299156403547E-001  5.7487043833194109E-001
  5.0000000000000017E-001  5.0000000000000017E-001      50  20050   2.0000000000000000E+000 0.0000000000000000E+000   2.9246735142421464E-001  4.9491299156403547E-001  5.7487043833194109E-001
  6.0000000000000035E-001  6.0000000000000035E-001      60  20060   2.0000000000000000E+000 0.0000000000000000E+000   2.9245424242777806E-001  4.9482266243713066E-001  5.7478600467945994E-001
  6.0000000000000035E-001  6.0000000000000035E-001      60  20060   2.0000000000000000E+000 0.0000000000000000E+000   2.9245424242777806E-001  4.9482266243713066E-001  5.7478600467945994E-001
  7.0000000000000035E-001  7.0000000000000035E-001      70  20070   2.0000000000000000E+000 0.0000000000000000E+000   2.9243294071524630E-001  4.9471320973352570E-001  5.7468094165390066E-001
  7.0000000000000035E-001  7.0000000000000035E-001      70  20070   2.0000000000000000E+000 0.0000000000000000E+000   2.9243294071524630E-001  4.9471320973352570E-001  5.7468094165390066E-001
  8.0000000000000053E-001  8.0000000000000053E-001      80  20080   2.0000000000000000E+000 0.0000000000000000E+000   2.9240196965536146E-001  4.9459371721469409E-001  5.7456231773984605E-001
  8.0000000000000053E-001  8.0000000000000053E-001      80  20080   2.0000000000000000E+000 0.0000000000000000E+000   2.9240196965536146E-001  4.9459371721469409E-001  5.7456231773984605E-001
  9.0000000000000053E-001  9.0000000000000053E-001      90  20090   2.0000000000000000E+000 0.0000000000000000E+000   2.9236039832662292E-001  4.9447410054047864E-001  5.7443819390341470E-001
  9.0000000000000053E-001  9.0000000000000053E-001      90  20090   2.0000000000000000E+000 0.0000000000000000E+000   2.9236039832662292E-001  4.9447410054047864E-001  5.7443819390341470E-001
  1.0000000000000006E+000  1.0000000000000006E+000     100  20100   2.0000000000000000E+000 0.0000000000000000E+000   2.9230826600809507E-001  4.9436525053567583E-001  5.7431796360018267E-001
  1.0000000000000006E+000  1.0000000000000006E+000     100  20100   2.0000000000000000E+000 0.0000000000000000E+000   2.9230826600809507E-001  4.9436525053567583E-001  5.7431796360018267E-001
  1.1000000000000007E+000  1.1000000000000007E+000     110  20110   2.0000000000000000E+000 0.0000000000000000E+000   2.9224693170074473E-001  4.9427909117719748E-001  5.7421258177042417E-001
  1.1000000000000007E+000  1.1000000000000007E+000     110  20110   2.0000000000000000E+000 0.0000000000000000E+000   2.9224693170074473E-001  4.9427909117719748E-001  5.7421258177042417E-001
  1.2000000000000008E+000  1.2000000000000008E+000     120  20120   2.0000000000000000E+000 0.0000000000000000E+000   2.9217910318209927E-001  4.9422805486150984E-001  5.7413412940574035E-001
  1.2000000000000008E+000  1.2000000000000008E+000     120  20120   2.0000000000000000E+000 0.0000000000000000E+000   2.9217910318209927E-001  4.9422805486150984E-001  5.7413412940574035E-001
  1.3000000000000009E+000  1.3000000000000009E+000     130  20130   2.0000000000000000E+000 0.0000000000000000E+000   2.9210828512104534E-001  4.9422347971281137E-001  5.7409415441702380E-001
  1.3000000000000009E+000  1.3000000000000009E+000     130  20130   2.0000000000000000E+000 0.0000000000000000E+000   2.9210828512104534E-001  4.9422347971281137E-001  5.7409415441702380E-001
  1.4000000000000010E+000  1.4000000000000010E+000     140  20140   2.0000000000000000E+000 0.0000000000000000E+000   2.9203753091593176E-001  4.9427260680445161E-001  5.7410045227359107E-001
  1.4000000000000010E+000  1.4000000000000010E+000     140  20140   2.0000000000000000E+000 0.0000000000000000E+000   2.9203753091593176E-001  4.9427260680445161E-001  5.7410045227359107E-001
  1.5000000000000010E+000  1.5000000000000010E+000     150  20150   2.0000000000000000E+000 0.0000000000000000E+000   2.9196792094928332E-001  4.9437466611377853E-001  5.7415292157974517E-001
  1.5000000000000010E+000  1.5000000000000010E+000     150  20150   2.0000000000000000E+000 0.0000000000000000E+000   2.9196792094928332E-001  4.9437466611377853E-001  5.7415292157974517E-001
  1.6000000000000012E+000  1.6000000000000012E+000     160  20160   2.0000000000000000E+000 0.0000000000000000E+000   2.9189817705599603E-001  4.9451844544236847E-001  5.7424127215949081E-001
  1.6000000000000012E+000  1.6000000000000012E+000     160  20160   2.0000000000000000E+000 0.0000000000000000E+000   2.9189817705599603E-001  4.9451844544236847E-001  5.7424127215949081E-001
  1.7000000000000012E+000  1.7000000000000012E+000     170  20170   2.0000000000000000E+000 0.0000000000000000E+000   2.9182687400350824E-001  4.9468508960160342E-001  5.7434855468156786E-001
  1.7000000000000012E+000  1.7000000000000012E+000     170  20170   2.0000000000000000E+000 0.0000000000000000E+000   2.9182687400350824E-001  4.9468508960160342E-001  5.7434855468156786E-001
  1.8000000000000014E+000  1.8000000000000014E+000     180  20180   2.0000000000000000E+000 0.0000000000000000E+000   2.9175566082597033E-001  4.9485662417129088E-001  5.7446013274221634E-001
  1.9000000000000014E+000  1.9000000000000014E+000     190  20190   2.0000000000000000E+000 0.0000000000000000E+000   2.9168908836843359E-001  4.9502390452626210E-001  5.7457043982929869E-001
  1.8000000000000014E+000  1.8000000000000014E+000     180  20180   2.0000000000000000E+000 0.0000000000000000E+000   2.9175566082597033E-001  4.9485662417129088E-001  5.7446013274221634E-001
  2.0000000000000013E+000  2.0000000000000013E+000     200  20200   2.0000000000000000E+000 0.0000000000000000E+000   2.9163095081002570E-001  4.9518702242800998E-001  5.7468147582071757E-001
